1000001,les Escaldes,42.50729,1.53414,AD,15853,1033
1000002,Andorra la Vella,42.50779,1.52109,AD,20430,1037
1000003,Umm al Qaywayn,25.56473,55.55517,AE,44411,2
1000004,Ras al-Khaimah,25.78953,55.9432,AE,115949,2
1000005,Khawr Fakkan,25.33132,56.34199,AE,33575,20
1000006,Dubai,25.0657,55.17128,AE,1137347,3
1000007,Dibba Al-Fujairah,25.59246,56.26176,AE,30000,16
1000008,Dibba Al-Hisn,25.61955,56.27291,AE,26395,4
1000009,Sharjah,25.33737,55.41206,AE,543733,6
1000010,Ar Ruways,24.11028,52.73056,AE,16000,16
1000011,Al Fujayrah,25.11641,56.34141,AE,62415,15
1000012,Al Ain,24.19167,55.76056,AE,408733,275
1000013,Ajman,25.41111,55.43504,AE,226172,4
1000014,Adh Dhayd,25.28812,55.88157,AE,24716,114
1000015,Abu Dhabi,24.46667,54.36667,AE,603492,6
1000016,Zaranj,30.95962,61.86037,AF,49851,489
1000017,Taloqan,36.73605,69.53451,AF,64256,801
1000018,Shindand,33.30294,62.1474,AF,29264,1071
1000019,Shibirghan,36.66757,65.7529,AF,55641,360
1000020,Shahrak,34.10737,64.3052,AF,15967,2357
1000021,Sar-e Pul,36.21544,65.93249,AF,52121,636
1000022,Sang-e Charak,35.84972,66.43694,AF,15377,1483
1000023,Aibak,36.26468,68.01551,AF,47823,969
1000024,Rustaq,37.12604,69.83045,AF,25636,1314
1000025,Qarqin,37.41853,66.04358,AF,15018,263
1000026,Qarawul,37.21959,68.7802,AF,24544,337
1000027,Pul-e Khumri,35.94458,68.71512,AF,56369,638
1000028,Paghman,34.58787,68.95091,AF,49157,2328
1000029,Nahrin,36.0649,69.13343,AF,22363,1138
1000030,Maymana,35.92139,64.78361,AF,75900,864
1000031,Mehtar Lam,34.67139,70.20944,AF,17345,795
1000032,Mazar-e Sharif,36.70904,67.11087,AF,303282,361
1000033,Lashkar Gah,31.59382,64.37161,AF,43934,786
1000034,Kushk,33.29565,61.95221,AF,16952,1115
1000035,Kunduz,36.72895,68.857,AF,161902,402
1000036,Khost,33.33951,69.92041,AF,96123,1183
1000037,Khulm,36.69736,67.69826,AF,64933,445
1000038,Khash,31.52919,62.79055,AF,15133,579
1000039,Khanabad,36.6825,69.11556,AF,71531,503
1000040,Karukh,34.48108,62.5863,AF,17484,1340
1000041,Kandahar,31.61332,65.71013,AF,391190,1007
1000042,Kabul,34.52813,69.17233,AF,3043532,1798
1000043,Jalalabad,34.42647,70.45153,AF,200331,575
1000044,Jabal os Saraj,35.11833,69.23778,AF,15032,1612
1000045,Herat,34.34817,62.19967,AF,272806,927
1000046,Ghormach,35.73062,63.78264,AF,30000,659
1000047,Ghazni,33.55391,68.42096,AF,141000,2179
1000048,Gereshk,31.82089,64.57005,AF,43588,830
1000049,Gardez,33.59744,69.22592,AF,103601,2308
1000050,Fayzabad,37.11664,70.58002,AF,44421,1210
1000051,Farah,32.37451,62.11638,AF,43561,662
1000052,Kafir Qala,34.66667,61.06667,AF,18086,726
1000053,Charikar,35.01361,69.17139,AF,53676,1554
1000054,Baraki Barak,33.96744,68.9492,AF,22305,1940
1000055,Bamyan,34.82156,67.82734,AF,61863,2550
1000056,Balkh,36.75635,66.8972,AF,114883,348
1000057,Baghlan,36.13068,68.70829,AF,108449,531
1000058,Art Khwajah,37.08571,69.47958,AF,18623,481
1000059,Asmar,35.03333,71.35809,AF,15708,913
1000060,Asadabad,34.87311,71.14697,AF,48400,837
1000061,Andkhoy,36.95293,65.12376,AF,29208,306
1000062,Bazarak,35.31292,69.51519,AF,65000,1965
1000063,Markaz-e Woluswali-ye Achin,34.12583,70.70778,AF,15098,972
1000064,Saint John's,17.12096,-61.84329,AG,24226,1
1000065,The Valley,18.21704,-63.05783,AI,2035,19
1000066,Sarande,39.87556,20.00528,AL,15147,32
1000067,Kukes,42.07694,20.42194,AL,17832,351
1000068,Korce,40.61861,20.78083,AL,58259,869
1000069,Gjirokaster,40.07583,20.13889,AL,23437,286
1000070,Elbasan,41.1125,20.08222,AL,100903,128
1000071,Burrel,41.61028,20.00889,AL,15405,315
1000072,Vlore,40.46667,19.48972,AL,89546,2
1000073,Tirana,41.3275,19.81889,AL,374801,113
1000074,Shkoder,42.06828,19.51258,AL,88245,12
1000075,Patos Fshat,40.64278,19.65083,AL,22679,157
1000076,Lushnje,40.94194,19.705,AL,41469,22
1000077,Lezhe,41.78361,19.64361,AL,18695,7
1000078,Lac,41.63556,19.71306,AL,24825,33
1000079,Kucove,40.80028,19.91667,AL,18166,58
1000080,Kruje,41.50917,19.79278,AL,21286,509
1000081,Kavaje,41.18556,19.55694,AL,29354,19
1000082,Fier-Cifci,40.71667,19.56667,AL,60995,17
1000083,Fier,40.72389,19.55611,AL,56297,20
1000084,Durres,41.32306,19.44139,AL,122034,13
1000085,Berat,40.70583,19.95222,AL,46866,66
1000086,Kapan,39.20755,46.40576,AM,33160,774
1000087,Goris,39.51111,46.34168,AM,20379,1498
1000088,Hats'avan,39.46405,45.97047,AM,15208,1761
1000089,Artashat,39.96144,44.54447,AM,20562,830
1000090,Ararat,39.83069,44.70569,AM,28832,823
1000091,Yerevan,40.18111,44.51361,AM,1093485,994
1000092,Ejmiatsin,40.16557,44.29462,AM,49513,877
1000093,Step'anavan,41.00995,44.38531,AM,23782,1405
1000094,Spitak,40.83221,44.26731,AM,15059,1548
1000095,Sevan,40.5473,44.94171,AM,17083,1892
1000096,Masis,40.06542,44.41618,AM,18911,837
1000097,Vanadzor,40.80456,44.4939,AM,101098,1344
1000098,Gavarr,40.35398,45.12386,AM,21680,1953
1000099,Hrazdan,40.49748,44.7662,AM,40795,1762
1000100,Armavir,40.15446,44.03815,AM,25963,870
1000101,Gyumri,40.7942,43.84528,AM,148381,1549
1000102,Ashtarak,40.2991,44.36204,AM,18779,1142
